Year,Class,Event,Name,School,Mark,Tie
1954,AA,880yd Run,"Wallace, Hugh",Lanier,02:06.7,
1954,B,880yd Run,"Sumner, Dean",Berry,2:07,
1954,C,880yd Run,"Simonton, Cliff",Lilburn,02:07.1,
1954,A,Discus,"Turvey, Joe",Murray Co.,130-2,
1954,AA,Discus,"Scarbrough, Joe",Jordan,159-11.25,
1954,B,Discus,"Chambers, Joe",Carrollton,131-4,
1954,C,Discus,"McLeod, Ralph",Ashburn,133-10.875,
1954,A,High Jump,"Barber, Jerome",Appling Co.,5-7.75,Tie
1954,A,High Jump,"Hartley, Jimmy",Miller Co.,5-7.75,Tie
1954,AA,High Jump,"Salter, Billy",O'Keefe,Jun-00,
1954,B,High Jump,"Poss, Sonny",Thomson,5-10.875,
1954,C,High Jump,"Stone, Tommy",Chattanooga Valley,5-8.25,
1954,AA,Javelin,"Spear, Eddie",Columbus,180-4.25,
1954,A,Long Jump,"Stubbs, Tommy",South Cobb,19-7.75,
1954,AA,Long Jump,"Delany, Joe",North Fulton,21-6.5,
1954,B,Long Jump,"Miller, Jackie",Perry,19-10.5,
1954,C,Long Jump,"Burpitt, Robert",Bryan Co.,19-3.75,
1954,A,Mile Run,"Daniels, Sam",Chamblee,04:49.2,
1954,AA,Mile Run,"Whatley, Everett",Grady,4:35,
1954,B,Mile Run,"Loftin, William",Berry,04:58.3,
1954,C,Mile Run,"Prescott, Owen",Hoboken,04:44.4,
1954,A,Pole Vault,"Snipes, Conway",Druid Hills,6-Nov,
1954,AA,Pole Vault,"Brannon, Delaney",Smith,8-Nov,Tie
1954,AA,Pole Vault,"Rickenbacker, Barney",Northside,8-Nov,Tie
1954,B,Pole Vault,"Beard, Joe","Calhoun, Morgan",4-Nov,
1954,C,Pole Vault,"Thronton, Sonny",Bogart,10-Oct,
1954,A,Relay--Half Mile,,Druid Hills,01:35.1,
1954,AA,Relay--Half Mile,,Griffin,1:33,
1954,B,Relay--Half Mile,,Carrollton,01:35.6,
1954,C,Relay--Half Mile,,Ashburn,01:38.6,
1954,A,Shot Put,"Swancy, Harold",Chamblee,46-5.25,
1954,AA,Shot Put,"Gilbert, Wayne",Jordan,46-11,
1954,B,Shot Put,"Griffis, Furman",Quitman,44-1.75,
1954,C,Shot Put,"Matthews, Grady",Meriwether Co.,44-9.5,
1955,A,100yd Dash,"Pritchett, Edward",Stephens Co.,10.5,
1955,AA,100yd Dash,"Dodds, Marshall",Columbus,10.1,
1955,B,100yd Dash,"Copeland, Harvey",Carrollton,10.35,
1955,C,100yd Dash,"Allen, Aubrey",Greenville,10.7,
1955,A,120yd High Hurdles,"Singleton, Tim",Druid Hills,15.5,
1955,AA,120yd High Hurdles,"Goodroe, Don",Albany,15.1,
1955,B,120yd High Hurdles,"Brantley, James",Vidalia,16.2,
1955,C,120yd High Hurdles,"Herrin, Ray",Hoboken,16.8,
1955,A,180yd Low Hurdles,"Singleton, Tim",Druid Hills,20.6,
1955,AA,180yd Low Hurdles,"Goodroe, Don",Albany,20.6,
1955,B,180yd Low Hurdles,"Brantley, James",Vidalia,21.7,
1955,C,180yd Low Hurdles,"Simonton, Cliff",Lilburn,22.7,
1955,A,220yd Dash,"Pritchett, Edward",Stephens Co.,23.4,
1955,AA,220yd Dash,"Dodds, Marshall",Columbus,22.8,
1955,B,220yd Dash,"Copeland, Harvey",Carrollton,23.5,
1955,C,220yd Dash,"Allen, Aubrey",Greenville,24,
1955,A,440yd Dash,"Pounds, Jerry",Avondale,53,
1955,AA,440yd Dash,"Mayfield, C.W.",Bass,51.1,
1955,B,440yd Dash,"Rivers, John",Metter,53.5,
1955,C,440yd Dash,"George, Bobby",Cave Spring,55.6,
1955,A,880yd Run,"Tankersley, Hugh",Avondale,2:09,
1955,AA,880yd Run,"Drozeski, Gordon",Lanier,2:03,
1955,B,880yd Run,"Cravey, John",Lyons,02:10.3,
1955,C,880yd Run,"Simonton, Cliff",Lilburn,02:05.4,
1955,A,Discus,"Oram, Dick",Chamblee,128-1.5,
1955,AA,Discus,"Redmond, Tommy",Russell,137-5.75,
1955,B,Discus,"Chambers, Joe",Carrollton,126-7.75,
1955,C,Discus,"Dykes, Maynor",Attapulgus,121-1,
1955,A,High Jump,"Barber, Jerome",Baxley,7-May,Tie
1955,A,High Jump,"Bettis, James",Elberton,7-May,Tie
1955,A,High Jump,"Williams, Joe",Cordele,7-May,Tie
1955,AA,High Jump,"Mobley, Carlos",Savannah,9-May,Tie
1955,AA,High Jump,"Rabhan, Walter",Savannah,9-May,Tie
1955,B,High Jump,"Poss, Sonny",Thomson,6-2.25,
1955,C,High Jump,"Hall, Donald",Wadley,9-May,
1955,AA,Javelin,"Hagler, Danny",Richmond,163-7,
1955,A,Long Jump,"Morehead, John",Cartersville,20-3.75,
1955,AA,Long Jump,"Dover, Wilbur",O'Keefe,20-11.5,
1955,B,Long Jump,"Copeland, Albert",McEachern,19-8.5,
1955,C,Long Jump,"Hires, Bowden",Reynolds,19-5.75,
1955,A,Mile Run,"Battle, Dick",Southwest Dekalb,04:48.5,
1955,AA,Mile Run,"Wynn, Kenneth",Decatur,04:37.2,
1955,B,Mile Run,"Holt, Donald",Calhoun,04:53.5,
1955,C,Mile Run,"Harper, Delano",Tallulah Falls,04:55.5,
1955,A,Pole Vault,"Stephens, Jasper",Ellijay,2-Nov,
1955,AA,Pole Vault,"McLendon, Howard",Jordan,12-3.5,
1955,B,Pole Vault,"Wilkerson, Roger",Glennville,6-Nov,
1955,C,Pole Vault,5-Way Tie,,6-Oct,Tie
1955,A,Relay--Half Mile,,Druid Hills,01:35.6,
1955,AA,Relay--Half Mile,,Bass,01:33.5,
1955,B,Relay--Half Mile,,Vidalia,01:37.1,
1955,C,Relay--Half Mile,,Cave Spring,01:39.5,
1955,A,Shot Put,"Oram, Dick",Chamblee,46-10.125,
1955,AA,Shot Put,"Kirk, Winky",Bass,50-7,
1955,B,Shot Put,"Peavy, Virgil",Perry,46-7.25,
1955,C,Shot Put,"Dykes, Maynor",Attapulgus,47-8,
1956,A,100yd Dash,"Wright, Allen",Douglas Co.,10.2,
1956,AA,100yd Dash,"Lesesne, Brannon",Northside,10,
1956,B,100yd Dash,"Copeland, Harvey",Carrollton,10.25,
1956,C,100yd Dash,"Gilbert, Dean",Tennille,10.6,
1956,A,120yd High Hurdles,"Towns, Bobby",Athens,14.8,
1956,AA,120yd High Hurdles,"Sanders, Willie",Northside,15.5,
1956,B,120yd High Hurdles,"Brantley, James",Vidalia,15,
1956,C,120yd High Hurdles,"Howell, Mack",Ashburn,16.3,
1956,A,180yd Low Hurdles,"Towns, Bobby",Athens,19.9,
1956,AA,180yd Low Hurdles,"Buce, Walter",Jordan,21.1,
1956,B,180yd Low Hurdles,"Brantley, James",Vidalia,20.25,
1956,C,180yd Low Hurdles,"Farrar, Bruce",Tallulah Falls,21.8,
1956,A,220yd Dash,"Pyron, Walter",Avondale,22.8,
1956,AA,220yd Dash,"Lesesne, Brannon",Northside,22.7,
1956,B,220yd Dash,"Morrow, Jimmy",Carrollton,23,
1956,C,220yd Dash,"Hardie, Eugene",Surrency,23.2,
1956,A,440yd Dash,"Overstreet, Benny",Coffee Co.,51.1,
1956,AA,440yd Dash,"Thurman, Brownie",Sylvan,52.1,
1956,B,440yd Dash,"Wexler, Alan",Carrollton,52.7,
1956,C,440yd Dash,"Newman, Gene",Meriwether Co.,54.7,
1956,A,880yd Run,"Broadnax, Buddy",Athens,02:03.9,
1956,AA,880yd Run,"Marienthal, George",Northside,02:04.3,
1956,B,880yd Run,"Kersey, Julian",Perry,02:08.4,
1956,C,880yd Run,"Payne, Marion",Ashburn,02:06.7,
1956,A,Discus,"Crowding, Ronald",Druid Hills,143-2.75,
1956,AA,Discus,"Mabrey, Joe",North Fulton,138-6,
1956,B,Discus,"Myers, Leon",Gordon Lee,139-2.5,
1956,C,Discus,"James, Wayne",West Crisp,132-6,
1956,A,High Jump,"Lee, Sonny",Southwest Dekalb,11-May,
1956,AA,High Jump,"Huie, John",Albany,6-0.5,
1956,B,High Jump,"Brantley, James",Vidalia,6-3.125,
1956,C,High Jump,"Lee, Bill",Edison,11-May,
1956,AA,Javelin,"Dover, Wilbur",O'Keefe,166-0.25,
1956,A,Long Jump,"Supensky, Tom",Marist,20-8.25,
1956,AA,Long Jump,"Dover, Wilbur",O'Keefe,20-8.25,
1956,B,Long Jump,"Glass, Roger",Greensboro,20-5,
1956,C,Long Jump,"Hires, Bowden",Reynolds,21-0.75,
1956,A,Mile Run,"Bailey, Oscar",Miller Co.,4:46,
1956,AA,Mile Run,"Winn, Kenny",Decatur,04:26.6,
1956,B,Mile Run,"Williams, Audis",Quitman,04:50.2,
1956,C,Mile Run,"Padgett, James",Darien,4:51,
1956,A,Pole Vault,"Stephens, Jasper",Ellijay,10-Nov,
1956,AA,Pole Vault,"Huie, John",Albany,10-Nov,
1956,B,Pole Vault,"Shipley, James","Calhoun, Morgan",,
1956,C,Pole Vault,"Mims, John",Reynolds,11-Nov,
1956,A,Relay--Half Mile,,Coffee Co.,,
1956,AA,Relay--Half Mile,,Northside,,
1956,B,Relay--Half Mile,,Carrollton,01:33.4,
1956,C,Relay--Half Mile,,Tennille,1:37,
1956,A,Shot Put,"Rice, Kenneth",Bainbridge,47-2,
1956,AA,Shot Put,"Nutting, Ed",Northside,54-3,
1956,B,Shot Put,"Myers, Leon",Gordon Lee,50-9.5,
1956,C,Shot Put,"Snow, James",Ashburn,46-1.675,
1957,A,100yd Dash,"Morrow, Jimmy",Carrollton,10.3,
1957,AA,100yd Dash,,,,
1957,AAA,100yd Dash,"Miller, Mont",Richmond,10.2,
1957,B,100yd Dash,"Holman, Johnny",Blakely-Union,10.2,
1957,C,100yd Dash,"Strickland, Ray",Hoboken,10.5,
1957,A,120yd High Hurdles,"Devore, Don",Milton,16,
1957,AA,120yd High Hurdles,,,,
1957,AAA,120yd High Hurdles,"Garden, Tom",North Fulton,15.7,
1957,B,120yd High Hurdles,"Faircloth, Jimmy",Montgomery Co.,16.5,
1957,C,120yd High Hurdles,"Strickland, Ray",Hoboken,16.1,
1957,A,180yd Low Hurdles,"Smith, Bobby",Elberton,22.1,
1957,AA,180yd Low Hurdles,,,,
1957,AAA,180yd Low Hurdles,"Garden, Tom",North Fulton,21.3,
1957,B,180yd Low Hurdles,"Farrar, Bruce",Tallulah Falls,22.2,
1957,C,180yd Low Hurdles,"Saunders, Milton",Ga. School for the Deaf,21.9,
1957,A,220yd Dash,"Morrow, Jimmy",Carrollton,23,
1957,AA,220yd Dash,,,,
1957,AAA,220yd Dash,"Miller, Mont",Richmond,22.7,
1957,B,220yd Dash,"Holman, Johnny",Blakely-Union,23.2,
1957,C,220yd Dash,"Martin, Tommy",Reynolds,23.9,
1957,A,440yd Dash,"Jaudon, Starke",Elberton,54.6,
1957,AA,440yd Dash,,,,
1957,AAA,440yd Dash,"Overstreet, Benny",Coffee Co.,50.4,
1957,B,440yd Dash,"Taylor, Herby",Quitman,52.6,
1957,C,440yd Dash,"Hardie, Eugene",Surrency,54.1,
1957,A,880yd Run,,,,
1957,AA,880yd Run,,,,
1957,AAA,880yd Run,"Broadnax, Buddy",Athens,02:02.3,
1957,B,880yd Run,"Schupp, Bill",Wacona,2:07,
1957,C,880yd Run,"Strickland, Earl",Greensboro,02:06.4,
1957,A,Discus,"Shiflet, Wayne",Elberton,131-3,
1957,AA,Discus,,,,
1957,AAA,Discus,"Mabrey, Joe",North Fulton,138-11.125,
1957,B,Discus,"Royal, Danny",Mitchell Co.,138-9,
1957,C,Discus,"Lane, Joe",Darien,133-10.5,
1957,A,High Jump,"Simms, Marshall",Milton,6-0.25,
1957,AA,High Jump,,,,
1957,AAA,High Jump,"Lee, Sonny",Southwest Dekalb,7-May,
1957,B,High Jump,"Butler, Mack",Mitchell Co.,5-9.5,
1957,C,High Jump,"Keyes, Bobby",Byron,9-May,
1957,AAA,Javelin,"Edge, Don",Cedartown,167-6,
1957,A,Long Jump,"Elrod, Ronald",Toccoa,20-1.75,
1957,AA,Long Jump,,,,
1957,AAA,Long Jump,"Hunter, Ralph",O'Keefe,20-2,
1957,B,Long Jump,"Kicklighter, Edwin",Glennville,19-7.625,
1957,C,Long Jump,"Hires, Bowden",Reynolds,19-9.5,
1957,A,Mile Run,"Harris, Jack",Carrollton,4:48,
1957,AA,Mile Run,,,,
1957,AAA,Mile Run,"Efinger, Rex",Jordan,04:46.0,
1957,B,Mile Run,"Potter, Bobby",Jefferson,04:49.8,
1957,C,Mile Run,"Padgett, James",Darien,04:57.2,
1957,A,Pole Vault,"Ames, Dencil",Gilmer,6-Nov,
1957,AA,Pole Vault,,,,
1957,AAA,Pole Vault,"Etheridge, Charles",Jordan,2-Nov,
1957,B,Pole Vault,"Shipley, James",Calhoun,2-Nov,
1957,C,Pole Vault,"Wilder, Leonard",Roswell,Nov-00,
1957,A,Relay--440yd,,Carrollton,46.5,
1957,AA,Relay--440yd,,,,
1957,AAA,Relay--440yd,,Richmond,44.6,
1957,B,Relay--440yd,,Blakely-Union,46.1,
1957,C,Relay--440yd,,Reynolds,47.6,
1957,A,Relay--Mile,,Carrollton,03:44.6,
1957,AA,Relay--Mile,,,,
1957,AAA,Relay--Mile,,North Fulton,03:33.8,
1957,B,Relay--Mile,,Forsyth Co.,03:43.4,
1957,C,Relay--Mile,,Ga. School for the Deaf,03:47.8,
1957,A,Shot Put,"Mathis, Homer",Pepperell,49-2,
1957,AA,Shot Put,,,,
1957,AAA,Shot Put,"Nutting, Ed",Northside,57-1-.375,
1957,B,Shot Put,"Royal, Danny",Mitchell Co.,50-1,
1957,C,Shot Put,"Williams, Bill",Ashburn,44-6.325,
1958,A,100yd Dash,"Franklin, Lehman",Statesboro,10.3,
1958,AA,100yd Dash,"Ray, Gary",North Whitfield,10.2,
1958,AAA,100yd Dash,"Howard, Matt",Northside,10.4,
1958,B,100yd Dash,"Blakely, Jerry",Gordon Lee,10.6,
1958,C,100yd Dash,"Glover, Gary",Waynesboro,10.5,
1958,A,120yd High Hurdles,"Weidinger, Dary",Effingham Co.,16.7,
1958,AA,120yd High Hurdles,"Harpole, Jimmy",Druid Hills,14.9,
1958,AAA,120yd High Hurdles,"Bonner, Jimmy",Russell,15.2,
1958,B,120yd High Hurdles,"Mayo, William",Wrightsville,20.3,
1958,C,120yd High Hurdles,"Phillips, David",West Gwinnett,16,
1958,A,180yd Low Hurdles,"Brown, Alex",Statesboro,22.2,
1958,AA,180yd Low Hurdles,"Harpole, Jimmy",Druid Hills,19.9,
1958,AAA,180yd Low Hurdles,"Bonner, Jimmy",Russell,20.3,
1958,B,180yd Low Hurdles,"Mayo, William",Wrightsville,20.3,
1958,C,180yd Low Hurdles,"Bostwick, Turner",Arlington,22.1,
1958,A,220yd Dash,"Franklin, Lehman",Statesboro,24,
1958,AA,220yd Dash,"Mealor, Ted",Westminster,22.4,
1958,AAA,220yd Dash,"Howard, Matt",Northside,22.7,
1958,B,220yd Dash,"Taylor, Herby",Quitman,23.6,
1958,C,220yd Dash,"Martin, Tommy",Reynolds,23.5,
1958,A,440yd Dash,"Parkman, Ralph",Carrollton,53.2,
1958,AA,440yd Dash,"Mealor, Ted",Westminster,50,
1958,AAA,440yd Dash,"Daniel, John",Richmond,51.4,
1958,B,440yd Dash,"Taylor, Herby",Quitman,52.3,
1958,C,440yd Dash,"Hardie, Eugene",Surrency,53.4,
1958,A,880yd Run,"Anderson, Billy",Sandersville,2:14,
1958,AA,880yd Run,"Whitehead, Harry",Druid Hills,02:04.1,
1958,AAA,880yd Run,"Dozier, Jimmy",Columbus,02:00.7,
1958,B,880yd Run,"Schupp, Bill",Wacona,02:08.1,
1958,C,880yd Run,"Summerford, Robert",Bryan Co.,"2""06.9",
1958,A,Discus,"Creel, Tommy",Carrollton,136-1.5,
1958,AA,Discus,"Dahlberg, Bill",Avondale,131-5,
1958,AAA,Discus,"Hilburn, Richard",Southwest,130-0.75,
1958,B,Discus,"Milner, John",Quitman,145-7.25,
1958,C,Discus,"Bassett, Wally",Byron,124-10.5,
1958,A,High Jump,"Loggins, Kip",Toccoa,5-8.675,
1958,AA,High Jump,"Sims, John",Irwin Co.,7-May,
1958,AAA,High Jump,"Kraft, Joseph",Southwest,7-May,Tie
1958,AAA,High Jump,"Patton, Ronald",Smith,7-May,Tie
1958,AAA,High Jump,"Willis, Bobby",Albany,7-May,Tie
1958,B,High Jump,"Durrence, Gene",Glennville,5-9.25,
1958,C,High Jump,"Tanner, Wayne",Turner Co.,6-2.625,
1958,AAA,Javelin,"Willis, Bobby",Albany,161-3,
1958,A,Long Jump,"Drawdy, Roy",Swinsboro,20-6,
1958,AA,Long Jump,"Holland, Julian",Thomasville,21-10.25,
1958,AAA,Long Jump,"Stanford, Lindrome",Brown,21-4,
1958,B,Long Jump,"Kicklighter, Edwin",Glennville,20-7.5,
1958,C,Long Jump,"Dutton, Martin",Tennille,20-3.75,
1958,A,Mile Run,"Turnbull, Gus",Toccoa,04:49.1,
1958,AA,Mile Run,"Matthews, Wesley",Berrien,04:44.8,
1958,AAA,Mile Run,"Leftwich, Raymond",Roosevelt,04:43.5,
1958,B,Mile Run,"Evans, Bobby",Quitman,04:46.9,
1958,C,Mile Run,"Dunnaway, David",Stewart Co.,4:54,
1958,A,Pole Vault,"James, Dencil",Gilmer,8-Nov,
1958,AA,Pole Vault,"Carr, Mark",Cairo,4-Dec,
1958,AAA,Pole Vault,"Willis, Bobby",Albany,Dec-00,
1958,B,Pole Vault,"Cleland, Don",Nahunta,10-Nov,
1958,C,Pole Vault,"Dutton, Martin",Tennille,4-Nov,
1958,A,Relay--440yd,,Carrollton,47.3,
1958,AA,Relay--440yd,,Druid Hills,44.4,
1958,AAA,Relay--440yd,,Northside,44.6,
1958,B,Relay--440yd,,Vidalia,46.9,
1958,C,Relay--440yd,,Bremen,46.6,
1958,A,Relay--Mile,,Statesboro,03:46.1,
1958,AA,Relay--Mile,,Avondale,03:30.8,
1958,AAA,Relay--Mile,,Brown,03:32.9,
1958,B,Relay--Mile,,Perry,3:42,
1958,C,Relay--Mile,,Reynolds,03:45.9,
1958,A,Shot Put,"Bramlett, Bobby",Gilmer,47-0.5,
1958,AA,Shot Put,"Wimberly, Randolph",Cairo,47-6,
1958,AAA,Shot Put,"Whitehead, Jimmy",Richmond,47-2.5,
1958,B,Shot Put,"Whittemore, Fred",Mary Persons,49-7,
1958,C,Shot Put,"Williams, Bill",Turner Co.,47-2.875,
1959,A,100yd Dash,"Fletcher, Charles",Cartersville,10.6,
1959,AA,100yd Dash,"Ray, Gary",North Whitfield,10.4,
1959,AAA,100yd Dash,"Fields, Glynn",Southwest Dekalb,10.2,
1959,B,100yd Dash,"Hill, Billy",Glennville,10.5,
1959,C,100yd Dash,"Glover, Gary",Waynesboro,10.4,
1959,A,120yd High Hurdles,"Deal, Bunny",Statesboro,16.4,
1959,AA,120yd High Hurdles,"Crowe, Jerald",Chamblee,15.6,
1959,AAA,120yd High Hurdles,"Eskew, John",Brown,15.7,
1959,B,120yd High Hurdles,"Davis, Jeff",Jefferson,15.6,
1959,C,120yd High Hurdles,"Mayo, William",Wrightsville,15.7,
1959,A,180yd Low Hurdles,"Jones, Terry",Cartersville,21.5,
1959,AA,180yd Low Hurdles,"Cockburn, Russell",North Whitfield,20.9,
1959,AAA,180yd Low Hurdles,"Huckabee, Martin",LaGrange,20.4,
1959,B,180yd Low Hurdles,"Davis, Jeff",Jefferson,21.3,
1959,C,180yd Low Hurdles,"Bostwick, Turner",Arlington,21.5,
1959,A,220yd Dash,"Simmons, Sonny",Effingham Co.,23.9,
1959,AA,220yd Dash,"Ray, Gary",North Whitfield,22.5,
1959,AAA,220yd Dash,"McConnell, Dave",Bass,23,
1959,B,220yd Dash,"Hill, Billy",Glennville,23.9,
1959,C,220yd Dash,"Matthews, Mack",Lincolnton,23.6,
1959,A,440yd Dash,"Parkman, Ralph",Carrollton,52.8,
1959,AA,440yd Dash,"Williamson, Wilbur",Avondale,50.5,
1959,AAA,440yd Dash,"Fields, Glynn",Southwest Dekalb,49.9,
1959,B,440yd Dash,"Spires, Newton",Jenkins Co.,53.1,
1959,C,440yd Dash,"Rushin, Kip",Roswell,54.3,
1959,A,880yd Run,"Massengale, Charles",North Clayton,02:09.2,
1959,AA,880yd Run,"Fulford, Frank",Chamblee,02:04.3,
1959,AAA,880yd Run,"McAllister, Tommy",Southwest,02:03.4,
1959,B,880yd Run,"Henry, Jimmie",ECI,02:09.9,
1959,C,880yd Run,"Summerford, Robert",Bryan Co.,2:07,
1959,A,Discus,"Pollard, Tom",North Clayton,126-2.5,
1959,AA,Discus,"Langford, Steve",Chamblee,149-10,
1959,AAA,Discus,"Paschal, Bill",Sylvan,148-1,
1959,B,Discus,"Howard, Donnie",Glennville,129-4,
1959,C,Discus,"Weaver, Roddy",Roswell,135-1,
1959,A,High Jump,"Brannon, Jerry",Forsyth Co.,5-9.75,
1959,AA,High Jump,"Sims, John",Irwin Co.,10-May,
1959,AAA,High Jump,"Meyer, Bob",Druid Hills,6-1.5,
1959,B,High Jump,"Adair, Charles",Turner Co.,8-May,Tie
1959,B,High Jump,"Knight, Bob Ken",Ft. Valley,8-May,Tie
1959,C,High Jump,"Carter, Phillip",Surrency,5-9.375,
1959,AAA,Javelin,"Nobles, Earl",Jordan,180-2,
1959,A,Long Jump,"Adams, Buddy",Dublin,20-3.5,Tie
1959,A,Long Jump,"Brannon, Jerry",Forsyth Co.,20-3.5,Tie
1959,AA,Long Jump,"Davis, Elmer",Cairo,21-3,
1959,AAA,Long Jump,"Kraft, Herbie",Southwest,21-7.75,
1959,B,Long Jump,"Duke, Gary",Jefferson,21-7.5,
1959,C,Long Jump,"Dutton, Martin",Tennille,20-10,
1959,A,Mile Run,"Blaine, Bobby",Pickens Co.,04:50.1,
1959,AA,Mile Run,"Matthews, Wesley",Berrien,04:43.6,
1959,AAA,Mile Run,"Kansas, Jacob",Athens,04:42.5,
1959,B,Mile Run,"Bryant, Douglas",Jackson,04:50.4,
1959,C,Mile Run,"Kicklighter, Randall",Darien,04:57.2,
1959,A,Pole Vault,"Welborn, Ira",Dublin,11-10.5,
1959,AA,Pole Vault,"Davis, Elmer",Cairo,12,
1959,AAA,Pole Vault,"Mahaffey, Robert",Roosevelt,Dec-00,Tie
1959,AAA,Pole Vault,"Man, Ray",Murphy,Dec-00,Tie
1959,AAA,Pole Vault,"Thomas, Bob",Druid Hills,Dec-00,Tie
1959,B,Pole Vault,"Faircloth, Larry",Montgomery Co.,4-Nov,
1959,C,Pole Vault,"Dutton, Martin",Tennille,4-Nov,
1959,C,Pole Vault,"Holliday, Cook",Wilcox Central,4-Nov,
1959,A,Relay--440yd,,Carrollton,46.4,
1959,AA,Relay--440yd,,North Whitfield,44.4,
1959,AAA,Relay--440yd,,North Fulton,44.1,
1959,B,Relay--440yd,,Jefferson,46.1,
1959,C,Relay--440yd,,Bremen,46.4,
1959,A,Relay--Mile,,Winder-Barrow,03:40.9,
1959,AA,Relay--Mile,,Avondale,03:33.5,
1959,AAA,Relay--Mile,,North Fulton,03:34.3,
1959,B,Relay--Mile,,Jenkins Co.,03:40.6,
1959,C,Relay--Mile,,Tennille,03:43.3,
1959,A,Shot Put,"Barnett, Bill",Forsyth Co.,46-7.5,
1959,AA,Shot Put,"Wimberly, Randolph",Cairo,50-11.75,
1959,AAA,Shot Put,"Whitehead, Jimmy",Richmond,53-4,
1959,B,Shot Put,"Pearson, Gene",Ft. Valley,44-11,
1959,C,Shot Put,"Weaver, Roddy",Roswell,46-2.5,
1960,A,100yd Dash,"Simmons, Sonny",Effingham Co.,10.6,
1960,AA,100yd Dash,"Reid, Jerry",Chamblee,10.6,
1960,AAA,100yd Dash,"Johnson, Hutch",North Fulton,10.3,
1960,B,100yd Dash,"Hill, Billy",Glennville,10.5,
1960,C,100yd Dash,"Newman, Barry",Hepzibah,10.6,
1960,A,120yd High Hurdles,"Jones, Marvin",Commerce,16.3,
1960,AA,120yd High Hurdles,"Croft, Edward",Westminster,15.6,
1960,AAA,120yd High Hurdles,"Phillips, Sammy",Druid Hills,15.3,
1960,B,120yd High Hurdles,"Garth, Branham",Morgan Co.,15.2,
1960,C,120yd High Hurdles,"Green, Laverne",Boston,16.8,
1960,A,180yd Low Hurdles,"Baker, George",Monroe,21.5,
1960,AA,180yd Low Hurdles,"Cockburn, Russell",North Whitfield,20.7,
1960,AAA,180yd Low Hurdles,"Phillips, Sammy",Druid Hills,20.4,
1960,B,180yd Low Hurdles,"Garth, Branham",Morgan Co.,20.8,
1960,C,180yd Low Hurdles,"Rooks, Floyd",Macon Co.,21.8,
1960,A,220yd Dash,"Simmons, Sonny",Effingham Co.,23.1,
1960,AA,220yd Dash,"Staten, John",North Whitfield,23.4,
1960,AAA,220yd Dash,"Seligman, Sandy",Grady,23.3,
1960,B,220yd Dash,"Anderson, Shelly",Vidalia,23.6,
1960,C,220yd Dash,"Thomason, Bobby",Bremen,23.9,
1960,A,440yd Dash,"Nixon, Howard",Carrollton,53,
1960,AA,440yd Dash,"Grizzard, Albert",Avondale,51.6,
1960,AAA,440yd Dash,"Southwest, Bill",Southwest,51.4,
1960,B,440yd Dash,"McDaniel, Jerry",Berry,52.4,
1960,C,440yd Dash,"Skinner, Everett",Wadley,54.4,
1960,A,880yd Run,"Parker, Doug",Forest Park,02:08.0,
1960,AA,880yd Run,"Fulford, Frank",Chamblee,02:04.5,
1960,AAA,880yd Run,"Durham, Jerry",North Fulton,02:02.6,
1960,B,880yd Run,"Baldwin, Quilliam",Morgan Co.,02:09.4,
1960,C,880yd Run,"Prescott, Douglas",Hoboken,02:07.8,
1960,A,Discus,"Pollard, Tom",North Clayton,144-5,
1960,AA,Discus,"Langford, Steve",Chamblee,153-6,
1960,AAA,Discus,"Paschal, Bill",Sylvan,166-10.5,
1960,B,Discus,"McKenzie, Jim",Turner Co.,129-3.5,
1960,C,Discus,"Griffin, Roy",Hoboken,124-7.5,
1960,A,High Jump,"Dickens, Tom",Winder-Barrow,6-May,Tie
1960,A,High Jump,"Whelchel, Robert",Gordon Lee,6-May,Tie
1960,AA,High Jump,"Blackwood, Robert",Westminster,5-10.75,Tie
1960,AA,High Jump,"Sims, John",Irwin Co.,5-10.75,Tie
1960,AAA,High Jump,"Yoder, Don",Columbus,6-0.75,
1960,B,High Jump,"Pierce, Ronald",Berry,9-May,Tie
1960,B,High Jump,"Worsham, Gene",Mitchell Co.,9-May,Tie
1960,C,High Jump,"Rabern, Billy",Roswell,9-May,
1960,AAA,Javelin,"Nobles, Earl",Jordan,196-1.5,
1960,A,Long Jump,"Adams, James",Dublin,20-8.5,
1960,AA,Long Jump,"Jamieson, Buddy",Jeff Davis,20-6,
1960,AAA,Long Jump,"Wooten, Joe",West Fulton,21-6,
1960,B,Long Jump,"Dubberley, Chester",Camden Co.,20-9.5,
1960,C,Long Jump,"Duncan, Delma",Whigham,21-5.5,
1960,A,Mile Run,"Lanxton, Penny",Carrollton,04:56.3,
1960,AA,Mile Run,"Heiskell, Andy",Westminster,04:41.1,
1960,AAA,Mile Run,"Storey, Dan",Jordan,04:41.2,
1960,B,Mile Run,"Bryant, Douglas",Jackson,04:47.0,
1960,C,Mile Run,"Beason, William",Chattanooga Valley,04:54.0,
1960,A,Pole Vault,"Newsome, Jerry",Statesboro,4-Oct,Tie
1960,A,Pole Vault,"Walters, Harold",Stephens Co.,4-Oct,Tie
1960,AA,Pole Vault,"Massey, Jimmy",Cairo,8-Nov,
1960,AAA,Pole Vault,"Thomas, Bob",Druid Hills,12-2.5,
1960,B,Pole Vault,"Amerson, Don",Wilkinson Co.,10-Oct,Tie
1960,B,Pole Vault,"McGehee, Bill",Ft. Valley,10-Oct,Tie
