Year,Class,Event,Name,School,Mark,Tie
1920,Open,Pole Vault,"Harrison, Bomont",Winder,4-Oct,Tie
1920,Open,Pole Vault,"Tucker, Garigg",Conyers,4-Oct,Tie
1920,Open,Relay--Half Mile,,Dalton,01:54.5,
1920,Open,Shot Put,"Usry, Joe",Thomson,,
1921,Open,100yd Dash,"Reynolds, Robert",Greensboro,,
1921,Open,120yd Low Hurdles,"Jones,",Cartersville,,
1921,Open,220yd Dash,"Reynolds, Robert",Greensboro,,
1921,Open,440yd Dash,"McMillan,",Ashburn,,
1921,Open,High Jump,"Sneed,",Carrollton,,
1921,Open,Long Jump,"New, Artie",Washington,,
1921,Open,Pole Vault,"Hitchcock,",Dallas,,
1921,Open,Relay--Half Mile,,"7th District, Berry and Mt. Berry",,
1921,Open,Shot Put,"Parker, Alton",Carrollton,,
1922,Open,100yd Dash,"Hayes, Everitt",West Point,10.4,
1922,Open,120yd Low Hurdles,"Melton, James",Baxley,15.4,
1922,Open,220yd Dash,"Lindsey, Clayton",Thomasville,24,
1922,Open,440yd Dash,"Fuller, Camp",Newnan,53.8,
1922,Open,High Jump,"Pierce, Ed",Carrollton,10-May,
1922,Open,Long Jump,"Pierce, Ed",Carrollton,21-0.25,
1922,Open,Pole Vault,"Logan, Gordon",Newnan,6-Oct,
1922,Open,Relay--Half Mile,,4th District,1:38,
1922,Open,Shot Put,"Tippin, John",Rome,47-3,
1923,Open,100yd Dash,"Forehand, Alton",Graymont-Summit,10.8,
1923,Open,120yd Low Hurdles,"Beardon, Elton",Dalton,,
1923,Open,220yd Dash,"Prichard, Joe",Graymont-Summit,24,
1923,Open,440yd Dash,"Prichard, Joe",Graymont-Summit,52,
1923,Open,High Jump,"Murray, J.W.",Mt. Berry,,Tie
1923,Open,High Jump,"Newsom, FH",Hawkinsville,,Tie
1923,Open,Long Jump,"Patrick, Cecil",Vadalia,19-10.25,
1923,Open,Pole Vault,"Stewart, Alton",Adairsville,,
1923,Open,Relay--Half Mile,,Eatonton,,
1923,Open,Shot Put,"Griffin, Lawrence",Carrollton,42-0,
1924,Open,100yd Dash,"Prichard, Joe",Graymont-Summit,10.3,
1924,Open,120yd Low Hurdles,"Prichard, Joe",Graymont-Summit,14.4,
1924,Open,220yd Dash,"Oliff, Billie",Bainbridge,24.1,
1924,Open,440yd Dash,"Yarbrough, M.",Rome,52.4,
1924,Open,High Jump,"Logan,",Carrollton,8-May,
